LFRR-E|Brest ACC (FL295+) - Brest|LFRR_M|LFRR-E
LFRR-E|Brest ACC (FL295+) - Brest|LFRR_Q|LFRR-E
LFRR-E|Brest ACC (FL295+) - Brest|LFRR_X|LFRR-E
LFRR-E|Brest ACC (FL295+) - Brest|LFRR_Z|LFRR-E
LFRR-A|Brest|LFRR_A|LFRR-A
LFRR-G|Brest|LFRR_G|LFRR-G
LFRR-J|Brest|LFRR_J|LFRR-J
LFRR-K|Brest|LFRR_K|LFRR-K
LFRR-N|Brest|LFRR_N|LFRR-N
LFRR-S|Brest|LFRR_S|LFRR-S
LFRR-S|Brest|LFRR_US|LFRR-S
LFRR-V|Brest|LFRR_V|LFRR-V
LFRR-VK|Brest|LFRR_VK|LFRR-VK
LFRR-W|Brest|LFRR_W|LFRR-W
LFFF|Paris|PAR|LFFF
LFFF-AENB|Paris|PAR_AENB|LFFF-AENB
LFFF-AENB|Paris|PAR_TNTB|LFFF-AENB
LFFF-AENB|Paris|PAR_APTE|LFFF-AENB
LFFF-AENB|Paris|PAR_TN|LFFF-AENB
LFFF-AENB|Paris|PAR_TB|LFFF-AENB
LFFF-AENB|Paris|PAR_AP|LFFF-AENB
LFFF-AENB|Paris|PAR_TE|LFFF-AENB
LFFF-AOML|Paris|PAR_AOML|LFFF-AOML
LFFF-AOML|Paris|PAR_AOUS|LFFF-AOML
LFFF-AOML|Paris|PAR_ARML|LFFF-AOML
LFFF-AOML|Paris|PAR_FPAE|LFFF-AOML
LFFF-AOML|Paris|PAR_TML|LFFF-AOML
LFFF-AOML|Paris|PAR_AO|LFFF-AOML
LFFF-AOML|Paris|PAR_AR|LFFF-AOML
LFFF-AOML|Paris|PAR_US|LFFF-AOML
LFFF-AOML|Paris|PAR_TM|LFFF-AOML
LFFF-AOML|Paris|PAR_TL|LFFF-AOML
LFFF-DGTJ|Paris|PAR_DGTJ|LFFF-DGTJ
LFFF-DGTJ|Paris|PAR_DOGS|LFFF-DGTJ
LFFF-DGTJ|Paris|PAR_DODG|LFFF-DGTJ
LFFF-DGTJ|Paris|PAR_LMHJ|LFFF-DGTJ
LFFF-DGTJ|Paris|PAR_LMH|LFFF-DGTJ
LFFF-DGTJ|Paris|PAR_DG|LFFF-DGTJ
LFFF-DGTJ|Paris|PAR_DO|LFFF-DGTJ
